Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Circuit Name,Circuit#,Focus Status,Lightwright ID,Universe,DMX#
PIPE END TEMP,298,325,,#8 ELECTRIC,1,Source4-36°,575,,L202,G370,,,Not,86B2AA:26A4:4:1:Vecto,,
PIPE END BLUE,288,326,,#8 ELECTRIC,2,Source4-36°,575,,R3220+R119,,,,Not,41134:268D:4:1:Vecto,,
PIPE END TEMP,298,327,,#8 ELECTRIC,3,Source4-26°,575,,L202,G370,,,Not,503650:2676:4:1:Vecto,,
PIPE END BLUE,288,328,,#8 ELECTRIC,4,Source4-26°,575,,R3220+R119,,,,Not,41F1B7:265F:4:1:Vecto,,
TEMP BACKS,98,329,,#8 ELECTRIC,5,Source4-26°,575,,N/C,G579-A,,,Not,528C82:354:3:35:Vecto,,
SPC - OVERHEAD,409,330,,#8 ELECTRIC,6,Source4-26°,575,,R119,,,,Not,72DC48:3C7:3:35:Vecto,,
TEMP BACKS,97,342,,#8 ELECTRIC,7,Source4-26°,575,,N/C,G579-A,,,Not,80E123:36B:3:35:Vecto,,
MOV - iCUE (LAMP),504,184,,#8 ELECTRIC,8,Source4-19°,750,,R132,,,,Not,1159B9:2CA:3:35:Vecto,,
MOV - iCUE (MIRROR),504,1410,,#8 ELECTRIC,8.1,I-Cue Intelligent Mirror,,,,,,,Not,7F2F08:33D:3:35:Vecto,,
MOV - iCUE (IRIS),504,1414,,#8 ELECTRIC,8.2,DMX Iris for S4,120,,,,,,Not,AD009:2F8:3:35:Vecto,,
TEMP BACKS,96,340,,#8 ELECTRIC,9,Source4-26°,575,,N/C,G579-A,,,Not,50A095:382:3:35:Vecto,,
SPC - OVERHEAD,408,339,,#8 ELECTRIC,10,Source4-26°,575,,R119,,,,Not,780054:3DE:3:36:Vecto,,
MOV - iCUE (LAMP),503,185,,#8 ELECTRIC,11,Source4-19°,750,,R132,,,,Not,7F07FC:2E1:3:35:Vecto,,
MOV - iCUE (MIRROR),503,1415,,#8 ELECTRIC,11.1,I-Cue Intelligent Mirror,,,,,,,Not,7C2E1D:326:3:35:Vecto,,
MOV - iCUE (IRIS),503,1419,,#8 ELECTRIC,11.2,DMX Iris for S4,120,,,,,,Not,47CA4D:30F:3:35:Vecto,,
PIPE END BLUE,284,334,,#8 ELECTRIC,12,Source4-26°,575,,R3220+R119,,,,Not,93FDCB:26BB:4:1:Vecto,,
TEMP BACKS,95,337,,#8 ELECTRIC,12,Source4-26°,575,,N/C,G579-A,,,Not,704322:399:3:35:Vecto,,
PIPE END TEMP,294,333,,#8 ELECTRIC,13,Source4-26°,575,,L202,G370,,,Not,8CEAB2:26D2:4:1:Vecto,,
SPC - OVERHEAD,407,336,,#8 ELECTRIC,13,Source4-26°,575,,R119,,,,Not,47899E:3F5:3:36:Vecto,,
TEMP BACKS,94,335,,#8 ELECTRIC,14,Source4-26°,575,,N/C,G579-A,,,Not,246D09:3B0:3:35:Vecto,,
PIPE END BLUE,284,332,,#8 ELECTRIC,14,Source4-36°,575,,R3220+R119,,,,Not,775EEB:26E9:4:1:Vecto,,
PIPE END TEMP,294,331,,#8 ELECTRIC,15,Source4-36°,575,,L202,G370,,,Not,7964A7:2700:4:1:Vecto,,
WORKS,911,522,,#7 ELECTRIC,1,Q-Lite,500,,N/C,,,,Not,D0AE8:1D1E:3:3A:Vecto,,
BACK - AMBER,32,303,,#7 ELECTRIC,2,Source4 PAR WFL,750,,L021,,,,Not,BAED5:23DB:4:0:Vecto,,
BACK - BLUE,12,309,,#7 ELECTRIC,3,Source4 PAR WFL,750,,R2006,,,,Not,72E9D2:2409:4:0:Vecto,,
BACK - RED,52,304,,#7 ELECTRIC,4,Source4 PAR WFL,750,,LHT026,,,,Not,6152D7:23C4:4:0:Vecto,,
BACK - LAV,72,310,,#7 ELECTRIC,5,Source4 PAR WFL,750,,R58,,,,Not,1D5274:23F2:4:0:Vecto,,
BACK - AMBER,31,305,,#7 ELECTRIC,6,Source4 PAR WFL,750,,L021,,,,Not,60C560:237F:4:0:Vecto,,
BACK - BLUE,11,311,,#7 ELECTRIC,7,Source4 PAR WFL,750,,R2006,,,,Not,3C994A:23AD:4:0:Vecto,,
BACK - RED,51,306,,#7 ELECTRIC,8,Source4 PAR WFL,750,,LHT026,,,,Not,55562C:2368:4:0:Vecto,,
BACK - LAV,71,312,,#7 ELECTRIC,9,Source4 PAR WFL,750,,R58,,,,Not,6E7CE3:2396:4:0:Vecto,,
WORKS,911,522,,#7 ELECTRIC,10,Q-Lite,500,,N/C,,,,Not,45A262:1D4C:3:3A:Vecto,,
BACK - AMBER,30,324,,#7 ELECTRIC,11,Source4 PAR WFL,750,,L021,,,,Not,321582:22DE:4:0:Vecto,,
BACK - BLUE,10,323,,#7 ELECTRIC,12,Source4 PAR WFL,750,,R2006,,,,Not,F9C07:22B0:4:0:Vecto,,
BACK - RED,50,322,,#7 ELECTRIC,13,Source4 PAR WFL,750,,LHT026,,,,Not,234475:22F5:4:0:Vecto,,
BACK - LAV,70,321,,#7 ELECTRIC,14,Source4 PAR WFL,750,,R58,,,,Not,374454:22C7:4:0:Vecto,,
BACK - AMBER,29,320,,#7 ELECTRIC,15,Source4 PAR WFL,750,,L021,,,,Not,30DC03:233A:4:0:Vecto,,
BACK - BLUE,9,319,,#7 ELECTRIC,16,Source4 PAR WFL,750,,R2006,,,,Not,F2D6B:230C:4:0:Vecto,,
BACK - RED,49,318,,#7 ELECTRIC,17,Source4 PAR WFL,750,,LHT026,,,,Not,FAF01:2351:4:0:Vecto,,
BACK - LAV,69,317,,#7 ELECTRIC,18,Source4 PAR WFL,750,,R58,,,,Not,1D246C:2323:4:0:Vecto,,
WORKS,911,522,,#7 ELECTRIC,19,Q-Lite,500,,N/C,,,,Not,3E1E29:1D35:3:3A:Vecto,,
Follow Spot,,,,Spot Pods,1,XLT Follow Spot (1290),2000,,Note 1,,,,Not,409A06:5C1:3:36:Vecto,,
Follow Spot,,,,Spot Pods,2,XLT Follow Spot (1290),2000,,Note 1,,,,Not,5E9B5B:5D8:3:36:Vecto,,
SPC - DC,422,13,,Bridge Fronts,1,Source4-5°,750,,R132,,,,Not,413FAE:6BE:3:36:Vecto,,
PIT - N/C FNT,707,14,,Bridge Fronts,2,Source4-14°,750,,R132,,,,Not,656850:7D2:3:36:Vecto,,
SPC - PODIUM,431,15,,Bridge Fronts,3,Source4-5°,750,,R132,,,,Not,257046:6A7:3:36:Vecto,,
FRONT - AMBER,125,16,,Bridge Fronts,4,Source4-10°,750,,R02+R132,,,,Not,198A47:690:3:36:Vecto,,
FRONT - N/C,165,17,,Bridge Fronts,5,Source4-10°,750,,R132,,,,Not,597F9A:7E9:3:36:Vecto,,
FRONT - BLUE,105,18,,Bridge Fronts,6,Source4-10°,750,,L201+R132,,,,Not,22184D:800:3:36:Vecto,,
PIT - N/C FNT,706,19,,Bridge Fronts,7,Source4-14°,750,,R132,,,,Not,26F255:817:3:36:Vecto,,
FRONT - PINK,145,20,,Bridge Fronts,8,Source4-10°,750,,R34+R132,,,,Not,951155:82E:3:36:Vecto,,
CONGO FILL,655,21,,Bridge Fronts,9,Source4-10°,750,,L071,,,,Not,181200:845:3:36:Vecto,,
FRONT - AMBER,124,22,,Bridge Fronts,10,Source4-10°,750,,R02+R132,,,,Not,3CD752:679:3:36:Vecto,,
FRONT - N/C,164,23,,Bridge Fronts,11,Source4-10°,750,,R132,,,,Not,429EF0:85C:3:36:Vecto,,
FRONT - BLUE,104,24,,Bridge Fronts,12,Source4-10°,750,,L201+R132,,,,Not,381049:873:3:36:Vecto,,
PIT - N/C FNT,705,25,,Bridge Fronts,13,Source4-14°,750,,R132,,,,Not,83B2F:88A:3:36:Vecto,,
FRONT - PINK,144,26,,Bridge Fronts,14,Source4-10°,750,,R34+R132,,,,Not,284F:8A1:3:36:Vecto,,
CONGO FILL,654,27,,Bridge Fronts,15,Source4-10°,750,,L071,,,,Not,63F4B3:8B8:3:36:Vecto,,
FRONT - AMBER,123,28,,Bridge Fronts,16,Source4-10°,750,,R02+R132,,,,Not,8550D3:662:3:36:Vecto,,
FRONT - N/C,163,29,,Bridge Fronts,17,Source4-10°,750,,R132,,,,Not,193298:8FD:3:36:Vecto,,
FRONT - BLUE,103,30,,Bridge Fronts,18,Source4-10°,750,,L201+R132,,,,Not,7397EF:914:3:36:Vecto,,
PIT - N/C FNT,704,31,,Bridge Fronts,19,Source4-14°,750,,R132,,,,Not,59D85C:5EF:3:36:Vecto,,
FRONT - PINK,143,32,,Bridge Fronts,20,Source4-10°,750,,R34+R132,,,,Not,744B68:8E6:3:36:Vecto,,
CONGO FILL,653,33,,Bridge Fronts,21,Source4-10°,750,,L071,,,,Not,52A513:8CF:3:36:Vecto,,
FRONT - AMBER,122,34,,Bridge Fronts,22,Source4-10°,750,,R02+R132,,,,Not,1A1C26:64B:3:36:Vecto,,
FRONT - N/C,162,35,,Bridge Fronts,23,Source4-10°,750,,R132,,,,Not,53B7C3:7BB:3:36:Vecto,,
FRONT - BLUE,102,36,,Bridge Fronts,24,Source4-10°,750,,L201+R132,,,,Not,9420E8:7A4:3:36:Vecto,,
PIT - N/C FNT,703,37,,Bridge Fronts,25,Source4-14°,750,,R132,,,,Not,238CD1:78D:3:36:Vecto,,
FRONT - PINK,142,38,,Bridge Fronts,26,Source4-10°,750,,R34+R132,,,,Not,81143A:776:3:36:Vecto,,
CONGO FILL,652,39,,Bridge Fronts,27,Source4-10°,750,,L071,,,,Not,1070F2:75F:3:36:Vecto,,
FRONT - AMBER,121,40,,Bridge Fronts,28,Source4-10°,750,,R02+R132,,,,Not,176715:634:3:36:Vecto,,
FRONT - N/C,161,41,,Bridge Fronts,29,Source4-10°,750,,R132,,,,Not,9AEFB:748:3:36:Vecto,,
FRONT - BLUE,101,42,,Bridge Fronts,30,Source4-10°,750,,L201+R132,,,,Not,2186F2:731:3:36:Vecto,,
PIT - N/C FNT,702,43,,Bridge Fronts,31,Source4-14°,750,,R132,,,,Not,634EE2:71A:3:36:Vecto,,
FRONT - PINK,141,44,,Bridge Fronts,32,Source4-10°,750,,R34+R132,,,,Not,333A9D:703:3:36:Vecto,,
CONGO FILL,651,45,,Bridge Fronts,33,Source4-10°,750,,L071,,,,Not,1DF56:6EC:3:36:Vecto,,
SPC - DC,421,46,,Bridge Fronts,34,Source4-5°,750,,R132,,,,Not,CB8DA:606:3:36:Vecto,,
PIT - N/C FNT,701,47,,Bridge Fronts,35,Source4-14°,750,,R132,,,,Not,28A021:6D5:3:36:Vecto,,
SPC - PODIUM,432,48,,Bridge Fronts,36,Source4-10°,750,,R132,,,,Not,F7072:61D:3:36:Vecto,,
PIT - N/C SIDE,721,78,,SR High Side - Bottom Pipe,1,Source4-26°,750,,R132,,,,Not,6E363:99E:3:36:Vecto,,
BX BOOM BLUE,841,75,,SR High Side - Bottom Pipe,2,Source4-26°,750,,LHT079+R132,,,,Not,658B25:987:3:36:Vecto,,
BX BOOM STRAW,831,60,,SR High Side - Bottom Pipe,3,Source4-26°,750,,R08,,,,Not,833A46:970:3:36:Vecto,,
BX BOOM LAV,821,57,,SR High Side - Bottom Pipe,4,Source4-26°,750,,L137,,,,Not,78ACC5:959:3:36:Vecto,,
BX BOOM LT BLUE,811,54,,SR High Side - Bottom Pipe,5,Source4-26°,750,,L201,,,,Not,4DB30A:942:3:36:Vecto,,
BX BOOM AMB,801,51,,SR High Side - Bottom Pipe,6,Source4-26°,750,,R05,,,,Not,4CEC0E:92B:3:36:Vecto,,
PIT - N/C SIDE,722,77,,SR High Side - Mid Pipe,1,Source4-19°,750,,R132,,,,Not,47CEBE:A28:3:36:Vecto,,
BX BOOM BLUE,842,74,,SR High Side - Mid Pipe,2,Source4-19°,750,,LHT079+R132,,,,Not,5FA659:A11:3:36:Vecto,,
BX BOOM STRAW,832,59,,SR High Side - Mid Pipe,3,Source4-19°,750,,R08,,,,Not,14E654:9FA:3:36:Vecto,,
BX BOOM LAV,822,56,,SR High Side - Mid Pipe,4,Source4-19°,750,,L137,,,,Not,36006B:9E3:3:36:Vecto,,
BX BOOM LT BLUE,812,53,,SR High Side - Mid Pipe,5,Source4-19°,750,,L201,,,,Not,8A0634:9CC:3:36:Vecto,,
BX BOOM AMB,802,50,,SR High Side - Mid Pipe,6,Source4-19°,750,,R05,,,,Not,715439:9B5:3:36:Vecto,,
PIT - N/C SIDE,723,76,,SR High Side - Top Pipe,1,Source4-14°,750,,R132,,,,Not,373775:AB2:3:36:Vecto,,
BX BOOM BLUE,843,73,,SR High Side - Top Pipe,2,Source4-14°,750,,LHT079+R132,,,,Not,C9F95:A9B:3:36:Vecto,,
BX BOOM STRAW,833,58,,SR High Side - Top Pipe,3,Source4-14°,750,,R08,,,,Not,1A2FEE:A84:3:36:Vecto,,
BX BOOM LAV,823,55,,SR High Side - Top Pipe,4,Source4-14°,750,,L137,,,,Not,7E3901:A6D:3:36:Vecto,,
BX BOOM LT BLUE,813,52,,SR High Side - Top Pipe,5,Source4-14°,750,,L201,,,,Not,17CF6A:A56:3:36:Vecto,,
BX BOOM AMB,803,49,,SR High Side - Top Pipe,6,Source4-14°,750,,R05,,,,Not,37B7D0:A3F:3:36:Vecto,,
PIT - N/C SIDE,726,66,,SL High Side - Bottom Pipe,1,Source4-26°,750,,R132,,,,Not,80963F:B3C:3:36:Vecto,,
BX BOOM BLUE,846,63,,SL High Side - Bottom Pipe,2,Source4-26°,750,,LHT079+R132,,,,Not,2B902C:B25:3:36:Vecto,,
BX BOOM STRAW,836,12,,SL High Side - Bottom Pipe,3,Source4-26°,750,,R08,,,,Not,11F6E8:B0E:3:36:Vecto,,
BX BOOM LAV,826,9,,SL High Side - Bottom Pipe,4,Source4-26°,750,,L137,,,,Not,49BAD4:AF7:3:36:Vecto,,
BX BOOM LT BLUE,816,6,,SL High Side - Bottom Pipe,5,Source4-26°,750,,L201,,,,Not,3F03FA:AE0:3:36:Vecto,,
BX BOOM AMB,806,3,,SL High Side - Bottom Pipe,6,Source4-26°,750,,R05,,,,Not,5924B6:AC9:3:36:Vecto,,
PIT - N/C SIDE,725,65,,SL High Side - Mid Pipe,1,Source4-19°,750,,R132,,,,Not,8BA350:BC6:3:36:Vecto,,
BX BOOM BLUE,845,62,,SL High Side - Mid Pipe,2,Source4-19°,750,,LHT079+R132,,,,Not,540D83:BAF:3:36:Vecto,,
BX BOOM STRAW,835,11,,SL High Side - Mid Pipe,3,Source4-19°,750,,R08,,,,Not,558CB2:B98:3:36:Vecto,,
BX BOOM LAV,825,8,,SL High Side - Mid Pipe,4,Source4-19°,750,,L137,,,,Not,552C90:B81:3:36:Vecto,,
BX BOOM LT BLUE,815,5,,SL High Side - Mid Pipe,5,Source4-19°,750,,L201,,,,Not,832C2E:B6A:3:36:Vecto,,
BX BOOM AMB,805,2,,SL High Side - Mid Pipe,6,Source4-19°,750,,R05,,,,Not,47C990:B53:3:36:Vecto,,
PIT - N/C SIDE,724,64,,SL High Side - Top Pipe,1,Source4-14°,750,,R132,,,,Not,550DC2:C50:3:37:Vecto,,
BX BOOM BLUE,844,61,,SL High Side - Top Pipe,2,Source4-14°,750,,LHT079+R132,,,,Not,32F590:C39:3:36:Vecto,,
BX BOOM STRAW,834,10,,SL High Side - Top Pipe,3,Source4-14°,750,,R08,,,,Not,5381C1:C22:3:36:Vecto,,
BX BOOM LAV,824,7,,SL High Side - Top Pipe,4,Source4-14°,750,,L137,,,,Not,925869:C0B:3:36:Vecto,,
BX BOOM LT BLUE,814,4,,SL High Side - Top Pipe,5,Source4-14°,750,,L201,,,,Not,827AEC:BF4:3:36:Vecto,,
BX BOOM AMB,804,1,,SL High Side - Top Pipe,6,Source4-14°,750,,R05,,,,Not,8068F6:BDD:3:36:Vecto,,
SPC - SL STAIR,412,68,,SL Box Boom,1,Source4-26°,575,,R132,,,,Not,11DDD5:C67:3:37:Vecto,,
WARMERS,921,72,,SL Box Boom,2,Source4-19°,750,,LHT026+R132,,,,Not,75003A:CAC:3:37:Vecto,,
WARMERS,921,72,,SL Box Boom,3,Source4-19°,750,,LHT026+R132,,,,Not,5AC1B7:C7E:3:37:Vecto,,
WARMERS,921,72,,SL Box Boom,4,Source4-19°,750,,LHT026+R132,,,,Not,9D129:C95:3:37:Vecto,,
LAD - AMB,222,447,,SR Proscenium Pipe,1,Source4-26°,575,,R2002+R132,,,,Not,1D5F29:CC3:3:37:Vecto,,
LAD - CYAN,202,448,,SR Proscenium Pipe,2,Source4-26°,575,,R369+R132,,,,Not,4E3174:CDA:3:37:Vecto,,
LAD - LAV,242,115,,SR Proscenium Pipe,3,Source4-26°,575,,R56+R132,,,,Not,55882B:CF1:3:37:Vecto,,
LAD - MAG,262,116,,SR Proscenium Pipe,4,Source4-26°,575,,R46+R132,,,,Not,5466B:D08:3:37:Vecto,,
LAD - AMB,221,117,,SR Proscenium Pipe,5,Source4-36°,575,,R2002+R132,,,,Not,81B624:D1F:3:37:Vecto,,
LAD - CYAN,201,118,,SR Proscenium Pipe,6,Source4-36°,575,,R369+R132,,,,Not,5F98D2:D36:3:37:Vecto,,
LAD - LAV,241,119,,SR Proscenium Pipe,7,Source4-36°,575,,R56+R132,,,,Not,44BE:D4D:3:37:Vecto,,
LAD - MAG,264,120,,SR Proscenium Pipe,8,Source4-36°,575,,R46+R132,,,,Not,7A681E:D64:3:37:Vecto,,
LAD - AMB,231,399,,SL Proscenium Pipe,1,Source4-26°,575,,R2002+R132,,,,Not,3EEAC:D7B:3:37:Vecto,,
LAD - CYAN,211,400,,SL Proscenium Pipe,2,Source4-26°,575,,R369+R132,,,,Not,979D2D:D92:3:37:Vecto,,
LAD - LAV,251,85,,SL Proscenium Pipe,3,Source4-26°,575,,R56+R132,,,,Not,731198:DA9:3:37:Vecto,,
LAD - MAG,271,86,,SL Proscenium Pipe,4,Source4-26°,575,,R46+R132,,,,Not,2A7187:DC0:3:37:Vecto,,
LAD - AMB,232,87,,SL Proscenium Pipe,5,Source4-36°,575,,R2002+R132,,,,Not,73688D:DD7:3:37:Vecto,,
LAD - CYAN,212,88,,SL Proscenium Pipe,6,Source4-36°,575,,R369+R132,,,,Not,4FC115:DEE:3:37:Vecto,,
LAD - LAV,252,89,,SL Proscenium Pipe,7,Source4-36°,575,,R56+R132,,,,Not,18CCAA:E05:3:37:Vecto,,
